特征,分层,肺部感染 N=43,非肺部感染 N=2387,P-value
Sex,0,34 (79.1%),1676 (70.2%),0.207
,1,9 (20.9%),711 (29.8%),
Age,均值 ± 标准差,57.84 ± 8.92,57.07 ± 12.21,0.582
BMI,均值 ± 标准差,22.97 ± 3.15,23.86 ± 3.50,0.076
PriorHeadNeckHistory,0,29 (67.4%),1549 (64.9%),0.728
,1,14 (32.6%),838 (35.1%),
CoronaryHeartDisease,0,41 (95.3%),2267 (95.0%),0.911
,1,2 (4.7%),120 (5.0%),
PeripheralVascularDisease,0,42 (97.7%),2358 (98.8%),0.513
,1,1 (2.3%),29 (1.2%),
Diabetes,0,34 (79.1%),2118 (88.7%),0.049
,1,9 (20.9%),269 (11.3%),
SmokingHistory,0,20 (46.5%),1246 (52.2%),0.459
,1,23 (53.5%),1141 (47.8%),
AlcoholHistory,0,18 (41.9%),1499 (62.8%),0.005
,1,25 (58.1%),888 (37.2%),
PreopPALB,均值 ± 标准差,24.00 ± 9.36,24.07 ± 8.63,0.965
PreopALB,均值 ± 标准差,37.57 ± 14.08,40.90 ± 10.59,0.129
PreopHGB,均值 ± 标准差,108.72 ± 51.67,129.98 ± 42.36,0.010
ASA,1,0 (0.0%),52 (2.2%),0.679
,2,29 (67.4%),1691 (70.8%),
,3,3 (7.0%),148 (6.2%),
,4,11 (25.6%),496 (20.8%),
OperationDurationMin,均值 ± 标准差,191.09 ± 135.76,97.81 ± 86.54,<0.001
IntraopTransfusion,0,37 (86.0%),2347 (98.3%),<0.001
,1,6 (14.0%),40 (1.7%),
NeckDissection,0,10 (23.3%),1437 (60.2%),<0.001
,1,33 (76.7%),950 (39.8%),
PreopRadiotherapy,0,36 (83.7%),2212 (92.7%),0.027
,1,7 (16.3%),175 (7.3%),
PreopChemotherapy,0,32 (74.4%),2172 (91.0%),<0.001
,1,11 (25.6%),215 (9.0%),
PreopConcurrentCRT,1,34 (79.1%),2340 (98.0%),<0.001
,2,7 (16.3%),33 (1.4%),
,3,1 (2.3%),12 (0.5%),
,4,1 (2.3%),2 (0.1%),
Endoscopy,0,42 (97.7%),2380 (99.7%),0.021
,1,1 (2.3%),7 (0.3%),
Tracheostomy,0,40 (93.0%),2069 (86.7%),0.223
,1,3 (7.0%),318 (13.3%),
Differentiation,1,12 (27.9%),1144 (47.9%),0.037
,2,10 (23.3%),318 (13.3%),
,3,14 (32.6%),541 (22.7%),
,4,7 (16.3%),384 (16.1%),
MultiplePrimary,0,36 (83.7%),2095 (87.8%),0.423
,1,7 (16.3%),292 (12.2%),
LengthOfStay,均值 ± 标准差,34.21 ± 24.83,40.99 ± 1025.26,0.751
